Date,Time,Field_Site,NestID,Scientific_Name,Common_Name,Nest_Tree_DBH,Nest_Tree_Height,Nest_Height,N_Coverage,E_Coverage,S_Coverage,W_Coverage ,Canopy_Cover,Vertical_Complexity
16/06/2023,09:35,Stoneycroft,N25R12STNY1,Crataegus_chrysocarpa,Fireberry_hawthorn,0.084,4,1.6,5.5,5,0,4.5,0.922,NA
01/06/2023,10:53,Stoneycroft,N26C14STNY2,Pinus_Sylvestir,Scots_pine,0.448,9.97,2.5,NA,NA,NA,NA,NA,1
01/06/2023,10:24,Stoneycroft,N47R28STNY3,Rhamus_cathartica,Common_buckthorn,0.05,5.35,2.34,NA,NA,NA,NA,NA,2
11/07/2023,11:02,Stoneycroft,N60GC4STNY5,Crataegus_coccinea,Scarlet_hawthorn,0.025,2.56,1.63,0,0,0,0,13.767,3
12/07/2023,07:38,Stoneycroft,N68R35STNY6,Crataegus_coccinea,Scarlet_hawthorn,0.152,6.1,2.26,NA,NA,NA,NA,NA,3
12/07/2023,08:52,Stoneycroft,N75YW11STNY7,Crataegus_flabellata,Fanleaf_hawthorn,0.093,5.43,3.24,NA,NA,NA,NA,NA,2
05/07/2023,11:01,Stoneycroft,N76YW12STNY8,Crataegus_chrysocarpa,Fireberry_hawthorn,0.02,2.76,2.34,NA,NA,NA,NA,NA,2
11/07/2023,11:25,Stoneycroft,N89C24STNY9,Crataegus_chrysocarpa,Fireberry_hawthorn,0.017,4.25,1.52,0,4,0,2.5,1.553,3
12/07/2023,11:05,Stoneycroft,N90C25STNY10,Rhamnus_cathartica,Common_buckthorn,0.195,4.95,1.94,0,5.5,0,0,3.726,NA
12/07/2023,08:44,Stoneycroft,N91YW18STNY11,Vitis_riparia,Riverbank_grapevine,NA,NA,3.49,NA,NA,NA,NA,NA,3
12/07/2023,10:10,Stoneycroft,N92YW19STNY12,Crataegus_coccinea,Scarlet_hawthorn,0.8,9.11,6.31,NA,NA,NA,NA,NA,2
05/07/2023,11:30,Stoneycroft,N93YW20STNY13,Rhammus_cathartica,Common_buckthorn,0.0162,2.99,2.22,NA,NA,NA,NA,NA,2
12/07/2023,09:10,Stoneycroft,N96YW22STNY14,Rhus_typhina,Staghorn_sumac,0.103,6.96,6.31,NA,NA,NA,NA,NA,1
12/07/2023,09:22,Stoneycroft,N97YW23STNY15,Acer_saccharum,Sugar_maple,0.036,6.31,NA,NA,NA,NA,NA,NA,2
12/06/2023,10:58,Technoparc,N13R9TECH8,Crataegus_pruinosa,Frosted_hawthorn,0.116,8.6,1.3,NA,NA,NA,NA,0.063,1
22/06/2023,09:50,Technoparc,N16C6TECH11,Vitis_riparia,Riverbank_grapevine,NA,NA,1.24,0,9,3,4.5,NA,1
17/07/2023,09:26,Technoparc,N17C7TECH12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2023,10:30,Technoparc,N2C1TECH1,Rhamus_cathartica,Common_buckthorn,0.053,13.63,1.32,5.5,4.5,9,0.5,1.296,2
17/07/2023,08:46,Technoparc,N20R11TECH15,Rhamnus_cathartica,Common_buckthorn,0.031,7.79,1.12,0,1,0,8.5,1.542,2
12/06/2023,11:47,Technoparc,N27R13TECH16,Rhamus_cathartica,Common_buckthorn,0.102,7.94,1.9,5,0,NA,NA,0.299,3
14/07/2023,08:54,Technoparc,N29R15TECH18,Salix_bebbiana,Bebb_willow,0.057,9.27,0.6,0,0,0,0,1.476,2
12/06/2023,09:23,Technoparc,N30R16TECH19,Salix_bebbiana,Bebb_willow,0.045,8.6,0.9,1,4.5,1,4,4.421,2
14/07/2023,12:35,Technoparc,N38R20TECH20,Populus_deltoides,Eastern_cottonwood,0.152,15.24,0.66,9,0,9,"3,5",1.161,2
14/07/2023,09:39,Technoparc,N39R21TECH21,Rhamnus_cathartica,Common_buckthorn,0.039,9.79,0.67,6.5,2.5,0,1.5,3.722,2
12/06/2023,10:18,Technoparc,N40R22TECH22,Dead_standing,Dead_standing,0.072,2.97,0.67,5,0,5.5,7,7.878,1
14/07/2023,08:04,Technoparc,N41R23TECH23,Lonicera_tatarica,Tatarian_honeysuckle,NA,NA,4.74,NA,0,0,0,NA,2
14/07/2023,08:33,Technoparc,N42R24TECH24,Salix_discolor,Pussy_willow,0.12,9.23,NA,NA,NA,NA,NA,NA,3
06/07/2023,09:10,Technoparc,N43R25TECH25,Salix_alba,White_willow,0.22,13.3,1.31,8.5,6.5,5,0,NA,1
06/07/2023,08:25,Technoparc,N5R3TECH2,Populus_deltoides,Eastern_cottonwood,0.728,12.61,0.74,0,0,0,0,5.948,2
06/07/2023,12:04,Technoparc,N50C20TECH26,Lonicera_morrowii,Morrows_honeysuckle,0.037,NA,1.58,8.5,0,0,4,1.209,2
14/07/2023,07:35,Technoparc,N61R32TECH28,Rhamnus_cathartica,Common_buckthorn,0.057,6,1.12,NA,NA,NA,NA,1.803,2
12/06/2023,08:00,Technoparc,N62YW4TECH29,Rhamnus_cathartica,Common_buckthorn,0.016,6.59,1.36,2,3,9,8,31.957,1
04/07/2023,09:10,Technoparc,N63YW5TECH30,Rhamnus_cathartica,Common_buckthorn,0.022,8.71,7.79,NA,0,0,0,NA,2
04/07/2023,09:43,Technoparc,N64R33TECH31,Rhamnus_cathartica,Common_buckthorn,0.04,8.71,1,0,0,0,0,1.842,2
10/07/2023,08:14,Technoparc,N65R34TECH32,Salix_amygdaloides,Peachleaf_willow,0.377,NA,NA,NA,NA,NA,NA,NA,3
10/07/2023,08:03,Technoparc,N66YW6TECH33,Populus_deltoides,Eastern_cottonwood,0.388,10.24,9.79,NA,NA,NA,NA,NA,2
14/07/2023,08:16,Technoparc,N69YW7TECH34,Physocarpus_opulifolius,Common_ninebark,0.008,NA,0.93,0.5,0,0,0,1.033,2
14/07/2023,10:04,Technoparc,N7R5TECH4,Salix_bebbiana,Bebb_willow,0.086,4.13,1.01,7.5,3,7.5,5,10.099,1
04/07/2023,08:42,Technoparc,N71YW9TECH36,Lonicera_tatarica,Tatarian_honeysuckle,0.009,1.5,1.22,0.5,1.5,6.5,3.5,45.527,2
14/07/2023,10:03,Technoparc,N72YW10TECH37,Rhus_typhina,Staghorn_sumac,0.082,NA,3.43,NA,NA,NA,NA,NA,2
06/07/2023,09:17,Technoparc,N73GC4TECH38,NA,NA,NA,1,1.83,NA,NA,,NA,NA,NA
17/07/2023,10:42,Technoparc,N77GC6TECH39,Cornus_sericea,Red_osier_dogwood,NA,0.86,0.65,0,0,0,0,18.408,3
17/07/2023,08:43,Technoparc,N78R36TECH40,Acer_negundo,Manitoba_maple,0.109,14.74,1.45,0,0,0,5,NA,3
14/07/2023,08:25,Technoparc,N79YW13TECH41,Lonicera_tatarica,Tatarian_honeysuckle,NA,2.33,NA,NA,NA,NA,NA,NA,2
17/07/2023,06:40,Technoparc,N8R6TECH5,Salix_amygsaloides,Peachleaved_willow,0.115,11.94,0.77,6,0.5,0.5,6.5,0.844,2
17/07/2023,09:44,Technoparc,N81R38TECH43,Fraxinus_pennsylvanica,Green_ash,0.03,6.66,1.07,0,0,1.5,0,2.963,2
17/07/2023,09:34,Technoparc,N88YW17TECH44,Physocarpus_opulifolius,Common_ninebark,NA,1.2,0.77,1,0,6.5,0,12.539,1
19/06/2023,07:20,Technoparc,N9R7TECH6,Salix_bebbiana,Bebbs_willow,0.114,8.71,1.37,6,0,5,3.5,0.465,1
17/07/2023,09:04,Technoparc,N95YW21TECH45,Rhamnus_cathartica,Common_buckthorn,0.02,7.18,1.85,7,0,2,5,1.186,1
19/06/2023,10:38,BoisdeLiesse,N10R8BDL2,Rhamnus_cathartica,Common_buckthorn,0.095,NA,1.38,2.5,0,1,2,5.871,3
19/06/2023,12:15,BoisdeLiesse,N11C3BDL3,Lonicera_morrowii,Morrow_honeysuckle,NA,2,1.5,0,0,0,3,0.392,2
09/06/2023,11:00,BoisdeLiesse,N21C10BDL4,Lonicera_tatarica,Tatarian_honeysuckle,0.04,8.09,0.88,5,0,1.5,1.5,3.402,3
09/06/2023,09:41,BoisdeLiesse,N24C13BDL7,Picea_glauca,White_spruce,0.29,10.5,0.98,1,3,0.5,0,2.574,2
09/06/2023,10:43,BoisdeLiesse,N3C2BDL1,Pinus_strobus,Eastern_white_pine,0.183,9.08,1.98,9,1.5,1.5,3.5,7.132,2
17/07/2023,10:54,BoisdeLiesse,N34C16BDL11,Vitis_riparia,Riverbank_grapevine,NA,NA,0.85,0,0,0,0,NA,3
12/06/2023,08:30,BoisdeLiesse,N37C18BDL14,Lonicera_tatarica,Bush_honeysuckle,0.039,1.88,1.05,NA,0.5,3.5,1,0.402,3
12/06/2023,06:46,BoisdeLiesse,N44R26BDL15,Malus_pumila,Common_apple,0.134,8.68,1.93,7.5,0.5,6,3.5,1.836,1
09/06/2023,12:00,BoisdeLiesse,N52R30BDL17,Rhamus_cathartica,Common_buckthorn,0.072,5.13,4.59,NA,NA,NA,NA,NA,1
19/06/2023,01:07,BoisdeLiesse,N55GC2BDL20,Rhamus_cathartica,Common_buckthorn,NA,NA,1.95,NA,NA,NA,NA,NA,3
17/07/2023,10:41,BoisdeLiesse,N56YW3BDL21,Salix_alba,White_willow,NA,7.15,NA,NA,NA,NA,NA,NA,1
04/07/2023,11:16,BoisdeLiesse,N67C23BDL24,Sorbaria_sorbifolia,False_spirea,NA,1.28,0.8,0,0,0,0,41.994,2
12/06/2023,07:08,BoisdeLiesse,N82YW14BDL26,Rhamus_cathartica,Common_buckthorn,0.068,7.15,NA,NA,NA,NA,NA,NA,3
12/06/2023,09:07,BoisdeLiesse,N86GC9BDL30,Rhamus_cathartica,Common_buckthorn,0.012,NA,2.52,NA,NA,NA,NA,NA,3
04/07/2023,11:08,BoisdeLiesse,N87YW16BDL31,Sorbaria_sorbifolia,False_spirea,NA,1.2,0.85,0,0,0,0,2.626,3
17/07/2023,10:26,BoisdeLiesse,N94GC10BDL32,Lonicera_tatarica,Tatarian_honeysuckle,0.029,5.85,1.46,0,0,1,1.5,0.103,3
20/07/2023,08:38,BoisdeLiesse,N85YW15BDL29,Fraxinus_pensylvannica,Green_ash,0.025,6.4,NA,NA,NA,NA,NA,NA,2
20/07/2023,08:26,BoisdeLiesse,N84GC8BDL28,Rhamnus_cathartica,Common_buckthorn,0.043,6.77,NA,NA,NA,NA,NA,NA,2
20/07/2023,09:37,BoisdeLiesse,N83GC7BDL27,Lonicera_tatarica,Tatarian_honeysuckle,0.015,1.78,1.17,7,0,7.5,0,NA,3
20/07/2023,09:26,BoisdeLiesse,N54C21BDL19,Rhamnus_cathartica,Common_buckthorn,0.019,2.52,1.53,0,0,0,0,NA,2
20/07/2023,09:09,BoisdeLiesse,N45C19BDL16,Lonicera_tatarica,Tatarian_honeysuckle,0.01,1.86,1,0,0,0,0,NA,3
20/07/2023,08:11,BoisdeLiesse,N36C17BDL13,Dead_standing,Dead_standing,0.021,6.4,4.77,NA,NA,NA,NA,NA,1
20/07/2023,10:16,BoisdeLiesse,N32R17BDL9,Lonicera_tatarica,Tatarian_honeysuckle,0.085,7.71,6.03,NA,NA,NA,NA,NA,2
20/07/2023,10:23,BoisdeLiesse,N22C11BDL5,Unknown_vine_tangle,Unknown_vine_tangle,NA,NA,5.49,NA,NA,NA,NA,NA,1